ID, pX, pY, pZ, vX, vY, vZ, aX, aY, aZ, m
134, 2.11128, 4.99772, 2.82929, 0, 0, 0, 0, 0, 0, 1
135, 7.03531, 6.07657, 6.98512, 0, 0, 0, 0, 0, 0, 1
136, 1.10885, 5.62308, 4.3675, 0, 0, 0, 0, 0, 0, 1
137, 2.68474, 6.39403, 6.26534, 0, 0, 0, 0, 0, 0, 1
138, 6.73489, 0.0279917, 8.43429, 0, 0, 0, 0, 0, 0, 1
139, 3.51669, 6.33085, 9.38393, 0, 0, 0, 0, 0, 0, 1
140, 7.58258, 8.87832, 4.672, 0, 0, 0, 0, 0, 0, 1
141, 1.14318, 2.2511, 2.49304, 0, 0, 0, 0, 0, 0, 1
142, 0.606532, 1.99737, 1.0217, 0, 0, 0, 0, 0, 0, 1
143, 0.947103, 3.38959, 0.831079, 0, 0, 0, 0, 0, 0, 1
144, 2.42489, 0.983615, 2.29431, 0, 0, 0, 0, 0, 0, 1
145, 0.323941, 1.68414, 0.801897, 0, 0, 0, 0, 0, 0, 1
146, 7.51867, 4.83508, 3.2664, 0, 0, 0, 0, 0, 0, 1
147, 0.81851, 6.01454, 6.4814, 0, 0, 0, 0, 0, 0, 1
148, 3.82707, 0.818254, 0.133088, 0, 0, 0, 0, 0, 0, 1
149, 4.2341, 3.00226, 7.94935, 0, 0, 0, 0, 0, 0, 1
150, 3.53939, 5.08332, 5.45369, 0, 0, 0, 0, 0, 0, 1
151, 5.9791, 4.5637, 4.60028, 0, 0, 0, 0, 0, 0, 1
152, 1.00174, 7.95934, 0.51699, 0, 0, 0, 0, 0, 0, 1
153, 0.476705, 5.20227, 9.35363, 0, 0, 0, 0, 0, 0, 1
154, 4.91133, 9.05068, 0.319579, 0, 0, 0, 0, 0, 0, 1
155, 7.02571, 4.06377, 7.24181, 0, 0, 0, 0, 0, 0, 1
156, 9.81547, 6.96613, 4.18686, 0, 0, 0, 0, 0, 0, 1
157, 0.47426, 9.99455, 6.38152, 0, 0, 0, 0, 0, 0, 1
158, 8.95814, 7.41425, 8.79599, 0, 0, 0, 0, 0, 0, 1
159, 2.9721, 7.55913, 7.42502, 0, 0, 0, 0, 0, 0, 1
160, 1.22436, 0.310241, 4.82701, 0, 0, 0, 0, 0, 0, 1
161, 1.49281, 8.45941, 4.47876, 0, 0, 0, 0, 0, 0, 1
162, 7.08961, 3.97829, 0.270463, 0, 0, 0, 0, 0, 0, 1
163, 7.79774, 7.77268, 7.91843, 0, 0, 0, 0, 0, 0, 1
164, 1.097, 5.48924, 9.75839, 0, 0, 0, 0, 0, 0, 1
165, 2.89833, 6.92373, 0.134736, 0, 0, 0, 0, 0, 0, 1
166, 8.92285, 5.64776, 9.90913, 0, 0, 0, 0, 0, 0, 1
167, 1.64195, 1.26559, 2.36789, 0, 0, 0, 0, 0, 0, 1
168, 4.07742, 7.16378, 4.60445, 0, 0, 0, 0, 0, 0, 1
169, 9.79762, 6.83971, 5.50301, 0, 0, 0, 0, 0, 0, 1
170, 1.50932, 0.443989, 0.00446654, 0, 0, 0, 0, 0, 0, 1
171, 8.19291, 7.58285, 5.60212, 0, 0, 0, 0, 0, 0, 1
172, 5.05544, 6.33465, 1.10433, 0, 0, 0, 0, 0, 0, 1
173, 6.01497, 4.88017, 1.50938, 0, 0, 0, 0, 0, 0, 1
174, 3.86126, 2.21714, 3.20838, 0, 0, 0, 0, 0, 0, 1
175, 1.51083, 4.08054, 4.53133, 0, 0, 0, 0, 0, 0, 1
176, 0.0649462, 0.39272, 1.1238, 0, 0, 0, 0, 0, 0, 1
177, 2.72226, 4.70625, 7.26979, 0, 0, 0, 0, 0, 0, 1
178, 3.92531, 8.79301, 1.41034, 0, 0, 0, 0, 0, 0, 1
179, 3.35523, 5.48099, 0.967038, 0, 0, 0, 0, 0, 0, 1
180, 6.26137, 2.27863, 8.62228, 0, 0, 0, 0, 0, 0, 1
181, 6.7719, 7.50363, 2.0244, 0, 0, 0, 0, 0, 0, 1
182, 2.69267, 9.8568, 6.08088, 0, 0, 0, 0, 0, 0, 1
183, 1.89728, 8.28782, 0.0626116, 0, 0, 0, 0, 0, 0, 1
184, 3.3852, 1.33543, 5.41691, 0, 0, 0, 0, 0, 0, 1
185, 3.14389, 0.386425, 7.02683, 0, 0, 0, 0, 0, 0, 1
186, 3.48119, 4.59501, 9.15978, 0, 0, 0, 0, 0, 0, 1
187, 4.18521, 2.61817, 6.90635, 0, 0, 0, 0, 0, 0, 1
188, 4.26578, 3.36105, 1.38437, 0, 0, 0, 0, 0, 0, 1
189, 4.84098, 1.59568, 6.87541, 0, 0, 0, 0, 0, 0, 1
190, 7.82619, 1.02437, 7.58418, 0, 0, 0, 0, 0, 0, 1
191, 2.5687, 5.93459, 0.941739, 0, 0, 0, 0, 0, 0, 1
192, 2.55944, 1.04632, 0.524868, 0, 0, 0, 0, 0, 0, 1
193, 7.05568, 9.11358, 7.46076, 0, 0, 0, 0, 0, 0, 1
194, 8.57635, 4.52186, 7.84438, 0, 0, 0, 0, 0, 0, 1
195, 1.69724, 7.75184, 4.44779, 0, 0, 0, 0, 0, 0, 1
196, 4.09918, 7.87658, 9.83684, 0, 0, 0, 0, 0, 0, 1
197, 7.48205, 7.31339, 1.19624, 0, 0, 0, 0, 0, 0, 1
198, 0.358687, 9.33353, 8.63035, 0, 0, 0, 0, 0, 0, 1
199, 1.59485, 3.21473, 2.08256, 0, 0, 0, 0, 0, 0, 1
200, 9.31002, 4.4742, 3.09919, 0, 0, 0, 0, 0, 0, 1
201, 4.69377, 8.7308, 3.22211, 0, 0, 0, 0, 0, 0, 1
202, 1.29444, 9.62223, 7.87575, 0, 0, 0, 0, 0, 0, 1
203, 9.39481, 5.73319, 7.99499, 0, 0, 0, 0, 0, 0, 1
204, 7.26267, 6.87723, 8.33968, 0, 0, 0, 0, 0, 0, 1
205, 0.52875, 7.36734, 4.28985, 0, 0, 0, 0, 0, 0, 1
206, 4.76945, 9.00272, 4.1988, 0, 0, 0, 0, 0, 0, 1
207, 7.83139, 3.73845, 5.86784, 0, 0, 0, 0, 0, 0, 1
208, 1.53803, 4.22846, 4.3807, 0, 0, 0, 0, 0, 0, 1
209, 6.9925, 8.22218, 2.48398, 0, 0, 0, 0, 0, 0, 1
210, 2.75449, 6.9596, 6.22389, 0, 0, 0, 0, 0, 0, 1
211, 0.824452, 9.75743, 4.813, 0, 0, 0, 0, 0, 0, 1
212, 2.38688, 6.15419, 8.32104, 0, 0, 0, 0, 0, 0, 1
213, 5.8259, 5.64378, 2.77482, 0, 0, 0, 0, 0, 0, 1
214, 1.46752, 6.4699, 1.51141, 0, 0, 0, 0, 0, 0, 1
215, 1.53763, 0.837996, 2.43771, 0, 0, 0, 0, 0, 0, 1
216, 2.38672, 1.73819, 3.6041, 0, 0, 0, 0, 0, 0, 1
217, 2.26412, 7.19471, 2.23007, 0, 0, 0, 0, 0, 0, 1
218, 5.75064, 8.18247, 3.06288, 0, 0, 0, 0, 0, 0, 1
219, 1.48105, 4.18748, 1.1316, 0, 0, 0, 0, 0, 0, 1
220, 9.39879, 8.78826, 3.99033, 0, 0, 0, 0, 0, 0, 1
221, 2.15514, 6.70386, 0.785224, 0, 0, 0, 0, 0, 0, 1
222, 7.87881, 6.1912, 3.20277, 0, 0, 0, 0, 0, 0, 1
223, 0.469464, 4.98136, 1.65452, 0, 0, 0, 0, 0, 0, 1
224, 4.33675, 9.77332, 2.87057, 0, 0, 0, 0, 0, 0, 1
225, 7.02486, 7.28776, 2.24528, 0, 0, 0, 0, 0, 0, 1
226, 1.51935, 2.39862, 5.69631, 0, 0, 0, 0, 0, 0, 1
227, 6.55905, 1.6691, 4.76924, 0, 0, 0, 0, 0, 0, 1
228, 0.51253, 4.81875, 5.92747, 0, 0, 0, 0, 0, 0, 1
229, 5.30048, 2.56329, 8.40878, 0, 0, 0, 0, 0, 0, 1
230, 4.63569, 2.64127, 3.30231, 0, 0, 0, 0, 0, 0, 1
231, 2.16273, 8.75592, 7.74498, 0, 0, 0, 0, 0, 0, 1
232, 7.48529, 4.93461, 6.49296, 0, 0, 0, 0, 0, 0, 1
233, 7.16238, 2.67167, 6.99536, 0, 0, 0, 0, 0, 0, 1
234, 7.52954, 0.951834, 7.49345, 0, 0, 0, 0, 0, 0, 1
235, 5.64861, 1.83153, 8.1129, 0, 0, 0, 0, 0, 0, 1
236, 0.950546, 0.0286121, 6.58082, 0, 0, 0, 0, 0, 0, 1
237, 9.55329, 3.62507, 5.24411, 0, 0, 0, 0, 0, 0, 1
238, 5.02614, 0.379962, 6.50225, 0, 0, 0, 0, 0, 0, 1
239, 3.3386, 3.87224, 8.05598, 0, 0, 0, 0, 0, 0, 1
240, 8.35288, 4.13391, 8.00961, 0, 0, 0, 0, 0, 0, 1
241, 8.70242, 3.7872, 4.39749, 0, 0, 0, 0, 0, 0, 1
242, 1.56204, 3.10721, 7.05778, 0, 0, 0, 0, 0, 0, 1
243, 9.29346, 6.52903, 0.882743, 0, 0, 0, 0, 0, 0, 1
244, 1.39757, 1.36224, 6.79294, 0, 0, 0, 0, 0, 0, 1
245, 9.16198, 0.718151, 9.18682, 0, 0, 0, 0, 0, 0, 1
246, 5.78714, 7.30767, 7.36211, 0, 0, 0, 0, 0, 0, 1
247, 1.30447, 5.62371, 8.59901, 0, 0, 0, 0, 0, 0, 1
248, 2.93999, 3.75359, 4.09887, 0, 0, 0, 0, 0, 0, 1
249, 3.61061, 4.25809, 3.32056, 0, 0, 0, 0, 0, 0, 1
250, 6.55663, 8.82426, 7.79103, 0, 0, 0, 0, 0, 0, 1
251, 6.70701, 1.10385, 7.32011, 0, 0, 0, 0, 0, 0, 1
252, 5.39041, 8.24227, 9.40115, 0, 0, 0, 0, 0, 0, 1
253, 5.60604, 6.26873, 9.17127, 0, 0, 0, 0, 0, 0, 1
254, 4.41898, 8.94564, 0.500407, 0, 0, 0, 0, 0, 0, 1
255, 3.02275, 4.67457, 5.85735, 0, 0, 0, 0, 0, 0, 1
256, 3.99092, 1.13204, 0.778178, 0, 0, 0, 0, 0, 0, 1
257, 9.67088, 7.55065, 5.6239, 0, 0, 0, 0, 0, 0, 1
258, 8.56594, 5.18065, 9.11937, 0, 0, 0, 0, 0, 0, 1
259, 6.08867, 8.23372, 6.07434, 0, 0, 0, 0, 0, 0, 1
260, 6.83997, 0.236764, 1.55851, 0, 0, 0, 0, 0, 0, 1
261, 4.22923, 9.50513, 7.12217, 0, 0, 0, 0, 0, 0, 1
262, 7.90647, 9.69872, 3.37188, 0, 0, 0, 0, 0, 0, 1
263, 8.89222, 4.17962, 3.94078, 0, 0, 0, 0, 0, 0, 1
264, 8.01, 5.2267, 8.63779, 0, 0, 0, 0, 0, 0, 1
265, 0.210561, 8.20957, 4.22616, 0, 0, 0, 0, 0, 0, 1
266, 0.389968, 3.65002, 6.0453, 0, 0, 0, 0, 0, 0, 1
267, 9.86951, 6.50361, 9.12868, 0, 0, 0, 0, 0, 0, 1
268, 8.81183, 7.14939, 2.42973, 0, 0, 0, 0, 0, 0, 1
269, 0.690509, 6.12372, 4.34242, 0, 0, 0, 0, 0, 0, 1
270, 7.39346, 9.60354, 7.66851, 0, 0, 0, 0, 0, 0, 1
271, 0.0882016, 6.83859, 9.77954, 0, 0, 0, 0, 0, 0, 1
272, 4.27418, 6.26119, 9.82709, 0, 0, 0, 0, 0, 0, 1
273, 2.98186, 7.1129, 6.2495, 0, 0, 0, 0, 0, 0, 1
274, 2.03128, 4.16369, 1.32301, 0, 0, 0, 0, 0, 0, 1
275, 1.25653, 6.44268, 7.86866, 0, 0, 0, 0, 0, 0, 1
276, 5.56181, 0.942333, 4.94035, 0, 0, 0, 0, 0, 0, 1
277, 3.90277, 4.29356, 0.261692, 0, 0, 0, 0, 0, 0, 1
278, 3.68203, 6.01865, 5.84157, 0, 0, 0, 0, 0, 0, 1
279, 0.92788, 8.96186, 5.26319, 0, 0, 0, 0, 0, 0, 1
280, 9.88503, 7.33187, 4.8286, 0, 0, 0, 0, 0, 0, 1
281, 7.63087, 4.1952, 8.7168, 0, 0, 0, 0, 0, 0, 1
282, 7.04892, 1.95652, 5.03603, 0, 0, 0, 0, 0, 0, 1
283, 3.97555, 6.73707, 3.86716, 0, 0, 0, 0, 0, 0, 1
284, 3.58283, 7.81002, 5.24906, 0, 0, 0, 0, 0, 0, 1
285, 4.01296, 7.33409, 4.69587, 0, 0, 0, 0, 0, 0, 1
286, 3.48627, 3.27465, 2.33637, 0, 0, 0, 0, 0, 0, 1
287, 2.03026, 9.98204, 6.46915, 0, 0, 0, 0, 0, 0, 1
288, 3.8871, 6.37891, 5.77244, 0, 0, 0, 0, 0, 0, 1
289, 5.19081, 0.663951, 2.47854, 0, 0, 0, 0, 0, 0, 1
290, 0.299735, 4.44037, 8.59643, 0, 0, 0, 0, 0, 0, 1
291, 8.4489, 5.01329, 4.21311, 0, 0, 0, 0, 0, 0, 1
292, 4.07253, 8.56567, 0.647005, 0, 0, 0, 0, 0, 0, 1
293, 2.45774, 7.10988, 2.12038, 0, 0, 0, 0, 0, 0, 1
294, 5.28243, 1.16171, 2.80892, 0, 0, 0, 0, 0, 0, 1
295, 4.86405, 3.34564, 7.53108, 0, 0, 0, 0, 0, 0, 1
296, 6.97284, 4.54756, 8.49312, 0, 0, 0, 0, 0, 0, 1
297, 0.942554, 6.21407, 9.65925, 0, 0, 0, 0, 0, 0, 1
298, 9.72669, 4.55811, 7.22164, 0, 0, 0, 0, 0, 0, 1
299, 9.73192, 9.59582, 7.73197, 0, 0, 0, 0, 0, 0, 1
300, 3.49158, 3.88078, 4.19445, 0, 0, 0, 0, 0, 0, 1
301, 5.20918, 5.71021, 3.69764, 0, 0, 0, 0, 0, 0, 1
302, 4.95688, 2.3643, 2.64384, 0, 0, 0, 0, 0, 0, 1
303, 6.77908, 0.0902408, 4.8108, 0, 0, 0, 0, 0, 0, 1
304, 8.27466, 6.45798, 0.931919, 0, 0, 0, 0, 0, 0, 1
305, 0.667486, 3.58003, 7.26141, 0, 0, 0, 0, 0, 0, 1
306, 9.72917, 0.139695, 6.25055, 0, 0, 0, 0, 0, 0, 1
307, 2.93059, 1.23194, 2.64709, 0, 0, 0, 0, 0, 0, 1
308, 9.88493, 0.648379, 9.08178, 0, 0, 0, 0, 0, 0, 1
309, 0.00955255, 1.98369, 7.2639, 0, 0, 0, 0, 0, 0, 1
310, 0.61141, 7.54811, 3.928, 0, 0, 0, 0, 0, 0, 1
311, 8.35093, 9.06126, 6.62926, 0, 0, 0, 0, 0, 0, 1
312, 3.15551, 2.06569, 1.55616, 0, 0, 0, 0, 0, 0, 1
313, 2.14887, 0.114729, 7.90326, 0, 0, 0, 0, 0, 0, 1
314, 0.509086, 7.3543, 2.2567, 0, 0, 0, 0, 0, 0, 1
315, 1.91011, 7.72551, 7.77957, 0, 0, 0, 0, 0, 0, 1
316, 7.83363, 2.11432, 8.96564, 0, 0, 0, 0, 0, 0, 1
317, 7.74261, 3.88949, 1.25799, 0, 0, 0, 0, 0, 0, 1
318, 6.31722, 7.49581, 7.69675, 0, 0, 0, 0, 0, 0, 1
319, 0.857739, 0.435403, 6.93654, 0, 0, 0, 0, 0, 0, 1
320, 6.77835, 1.36325, 7.04601, 0, 0, 0, 0, 0, 0, 1
321, 6.69862, 6.14036, 7.34965, 0, 0, 0, 0, 0, 0, 1
322, 5.69279, 0.475117, 3.43471, 0, 0, 0, 0, 0, 0, 1
323, 1.37717, 0.305676, 8.11662, 0, 0, 0, 0, 0, 0, 1
324, 6.24383, 6.70132, 9.17322, 0, 0, 0, 0, 0, 0, 1
325, 8.65675, 9.62254, 3.96651, 0, 0, 0, 0, 0, 0, 1
326, 6.99435, 9.91212, 6.55415, 0, 0, 0, 0, 0, 0, 1
327, 5.80999, 8.77501, 6.75554, 0, 0, 0, 0, 0, 0, 1
328, 4.35106, 5.21377, 4.48491, 0, 0, 0, 0, 0, 0, 1
329, 2.70639, 0.382614, 6.46044, 0, 0, 0, 0, 0, 0, 1
330, 2.64332, 1.20305, 6.64865, 0, 0, 0, 0, 0, 0, 1
331, 7.15918, 8.94479, 5.5943, 0, 0, 0, 0, 0, 0, 1
332, 2.15328, 8.73247, 9.50013, 0, 0, 0, 0, 0, 0, 1
333, 1.8109, 1.59028, 1.07157, 0, 0, 0, 0, 0, 0, 1
334, 6.34039, 7.58728, 7.99765, 0, 0, 0, 0, 0, 0, 1
335, 4.1875, 1.44746, 4.08488, 0, 0, 0, 0, 0, 0, 1
336, 7.55563, 3.45199, 5.87747, 0, 0, 0, 0, 0, 0, 1
337, 6.92579, 2.95279, 7.52549, 0, 0, 0, 0, 0, 0, 1
338, 4.31596, 2.05198, 1.10782, 0, 0, 0, 0, 0, 0, 1
